{61 30} , {66 30} , Jaccard Similarity: 1
{66 30} , {56 66 30} , Jaccard Similarity: 1
{56 66 30} , {51 30} , Jaccard Similarity: 1
{51 30} , {56 51 30} , Jaccard Similarity: 1
{56 51 30} , {56 30} , Jaccard Similarity: 1
{56 30} , {30} , Jaccard Similarity: 1
{30} , {51 66 61 71 100 95 80} , Jaccard Similarity: 0.493
{51 66 61 71 100 95 80} , {56 51 66 61 71 100 95 80} , Jaccard Similarity: 1
{56 51 66 61 71 100 95 80} , {56 66 61 71 100 95 80} , Jaccard Similarity: 1
{56 66 61 71 100 95 80} , {66 61 71 100 95 80} , Jaccard Similarity: 1
{66 61 71 100 95 80} , {51 66 61 71 100 95} , Jaccard Similarity: 0.97
{51 66 61 71 100 95} , {56 51 66 61 71 100 95} , Jaccard Similarity: 1
{56 51 66 61 71 100 95} , {56 66 61 71 100 95} , Jaccard Similarity: 1
{56 66 61 71 100 95} , {66 61 71 100 95} , Jaccard Similarity: 1
{66 61 71 100 95} , {51 66 61 100 95} , Jaccard Similarity: 1
{51 66 61 100 95} , {56 51 66 61 100 95} , Jaccard Similarity: 1
{56 51 66 61 100 95} , {56 66 61 100 95} , Jaccard Similarity: 1
{56 66 61 100 95} , {66 61 100 95} , Jaccard Similarity: 1
{66 61 100 95} , {51 66 100 95} , Jaccard Similarity: 1
{51 66 100 95} , {56 51 66 100 95} , Jaccard Similarity: 1
{56 51 66 100 95} , {56 66 100 95} , Jaccard Similarity: 1
{56 66 100 95} , {66 100 95} , Jaccard Similarity: 1
{66 100 95} , {51 66 61 71 12} , Jaccard Similarity: 0.634
{51 66 61 71 12} , {56 51 66 61 71 12} , Jaccard Similarity: 1
{56 51 66 61 71 12} , {56 66 61 71 12} , Jaccard Similarity: 1
{56 66 61 71 12} , {66 61 71 12} , Jaccard Similarity: 1
{66 61 71 12} , {51 66 61 12} , Jaccard Similarity: 1
{51 66 61 12} , {56 51 66 61 12} , Jaccard Similarity: 1
{56 51 66 61 12} , {56 66 61 12} , Jaccard Similarity: 1
{56 66 61 12} , {66 61 12} , Jaccard Similarity: 1
{66 61 12} , {51 61 12} , Jaccard Similarity: 1
{51 61 12} , {56 51 61 12} , Jaccard Similarity: 1
{56 51 61 12} , {56 61 12} , Jaccard Similarity: 1
{56 61 12} , {61 12} , Jaccard Similarity: 1
{61 12} , {51 66 12} , Jaccard Similarity: 1
{51 66 12} , {56 51 66 12} , Jaccard Similarity: 1
{56 51 66 12} , {56 66 12} , Jaccard Similarity: 1
{56 66 12} , {66 12} , Jaccard Similarity: 1
{66 12} , {51 12} , Jaccard Similarity: 1
{51 12} , {56 51 12} , Jaccard Similarity: 1
{56 51 12} , {56 12} , Jaccard Similarity: 1
{56 12} , {12} , Jaccard Similarity: 1
{12} , {66 23 40} , Jaccard Similarity: 0.582
{66 23 40} , {56 66 23 40} , Jaccard Similarity: 1
{56 66 23 40} , {51 23 40} , Jaccard Similarity: 1
{51 23 40} , {56 51 23 40} , Jaccard Similarity: 1
{56 51 23 40} , {56 23 40} , Jaccard Similarity: 1
{56 23 40} , {23 40} , Jaccard Similarity: 1
{23 40} , {66 33 40} , Jaccard Similarity: 1
{66 33 40} , {51 33 40} , Jaccard Similarity: 1
{51 33 40} , {56 51 33 40} , Jaccard Similarity: 1
{56 51 33 40} , {56 33 40} , Jaccard Similarity: 1
{56 33 40} , {33 40} , Jaccard Similarity: 1
{33 40} , {66 61 71 40} , Jaccard Similarity: 1
{66 61 71 40} , {56 66 61 71 40} , Jaccard Similarity: 1
{56 66 61 71 40} , {51 66 61 40} , Jaccard Similarity: 1
